hotel,is_canceled,lead_time,arrival_date,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,meal,country,market_segment,distribution_channel,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,reserved_room_type,assigned_room_type,booking_changes,deposit_type,days_in_waiting_list,customer_type,adr,required_car_parking_spaces,total_of_special_requests
City Hotel,1,302,2024-05-05,0,2,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,0,Transient,62.0,0,0
City Hotel,1,65,2023-09-05,1,1,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,0,Transient,62.0,0,0
City Hotel,0,32,2025-05-30,0,2,2,0.0,0,SC,ISR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,160.0,0,2
Resort Hotel,0,3,2024-02-25,0,1,1,0.0,0,BB,PRT,Online TA,TA/TO,1,0,1,A,D,0,No Deposit,0,Transient,43.0,1,2
Resort Hotel,0,5,2023-10-10,2,6,2,0.0,0,BB,NLD,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,42.0,0,0
Resort Hotel,1,36,2024-03-24,1,3,2,0.0,0,HB,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,0,Transient,108.75,0,1
Resort Hotel,0,2,2025-04-29,1,1,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,122.0,0,2
City Hotel,1,126,2024-04-14,0,3,1,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,39,Transient,57.5,0,0
City Hotel,1,186,2025-04-28,1,2,2,0.0,0,BB,FRA,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,0,Transient,130.5,0,1
City Hotel,0,72,2023-12-27,2,4,2,0.0,0,BB,FRA,Direct,Direct,0,0,0,D,D,0,No Deposit,0,Transient,128.22,0,2
City Hotel,1,74,2025-03-23,1,3,2,0.0,0,BB,DEU,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,0,Transient,100.3,0,0
City Hotel,0,4,2024-04-09,0,1,2,2.0,0,BB,PRT,Online TA,TA/TO,0,0,0,F,F,0,No Deposit,0,Transient,211.0,0,2
City Hotel,1,242,2025-07-30,2,3,2,0.0,0,SC,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,112.5,0,0
City Hotel,0,40,2024-04-11,1,2,2,0.0,0,BB,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,105.3,0,1
City Hotel,1,161,2024-03-25,1,2,2,0.0,0,HB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,Non Refund,101,Transient,130.0,0,0
City Hotel,0,41,2025-02-13,1,4,3,0.0,0,BB,FRA,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,0,Transient,115.6,0,3
City Hotel,0,3,2024-10-02,4,10,1,0.0,0,BB,PRT,Complementary,Direct,0,0,0,A,A,3,No Deposit,0,Transient,0.0,0,0
City Hotel,0,414,2025-07-13,0,2,1,0.0,0,HB,DEU,Groups,TA/TO,0,0,0,A,A,1,No Deposit,0,Transient-Party,95.5,0,0
Resort Hotel,0,82,2024-02-07,2,0,2,0.0,0,Undefined,PRT,Groups,TA/TO,1,0,0,A,A,0,No Deposit,0,Transient-Party,72.0,0,0
City Hotel,1,626,2024-11-07,1,2,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,0,Transient,62.8,0,0
Resort Hotel,1,74,2024-08-26,2,3,3,1.0,0,BB,ESP,Online TA,TA/TO,0,0,0,H,H,0,No Deposit,0,Transient,262.0,0,0
City Hotel,0,26,2025-05-17,0,2,1,0.0,0,BB,FRA,Offline TA/TO,TA/TO,0,0,0,A,A,1,No Deposit,0,Transient-Party,130.0,0,0
City Hotel,0,28,2024-01-18,1,1,2,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,0,Transient,76.69,0,0
Resort Hotel,0,67,2023-07-31,0,1,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,D,0,No Deposit,0,Transient,88.55,0,1
City Hotel,1,4,2024-01-25,3,5,1,0.0,0,BB,AGO,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,64.08,0,1
City Hotel,1,170,2025-03-26,2,4,2,0.0,0,BB,FRA,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,0,Transient,96.9,0,0
Resort Hotel,0,61,2024-07-22,1,2,2,0.0,0,BB,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient-Party,172.0,1,0
Resort Hotel,0,1,2025-08-05,1,1,2,2.0,0,BB,PRT,Online TA,TA/TO,0,0,0,G,G,0,No Deposit,0,Transient,299.0,0,0
City Hotel,1,92,2023-09-30,0,1,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,0,Transient,170.0,0,0
City Hotel,1,91,2024-10-20,2,4,2,0.0,0,BB,BRA,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,0,Transient,127.65,0,1
City Hotel,0,21,2025-05-18,3,8,1,0.0,0,BB,AUS,Aviation,Corporate,0,0,0,D,D,0,No Deposit,0,Transient,110.0,0,0
Resort Hotel,1,145,2025-07-13,2,3,2,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,0,Transient,199.0,0,1
City Hotel,0,39,2023-08-14,0,2,2,0.0,0,HB,DEU,Offline TA/TO,TA/TO,0,0,0,A,D,0,No Deposit,0,Transient-Party,109.0,0,0
City Hotel,1,9,2024-01-14,0,2,2,0.0,0,SC,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,67.5,0,0
City Hotel,1,150,2025-06-17,2,3,1,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,Non Refund,0,Transient,120.0,0,0
City Hotel,1,158,2024-07-24,2,2,2,0.0,0,SC,BEL,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,89.25,0,0
City Hotel,1,141,2024-09-19,2,5,1,0.0,0,SC,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,118.8,0,1
City Hotel,0,52,2025-01-18,0,3,1,0.0,0,BB,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,86.4,0,1
Resort Hotel,0,8,2024-06-23,0,2,2,3.0,0,BB,USA,Direct,Direct,0,0,0,H,H,0,No Deposit,0,Transient,186.0,1,0
City Hotel,1,21,2024-06-01,0,2,3,0.0,0,BB,FRA,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,0,Transient,157.0,0,0
City Hotel,1,580,2025-02-09,0,2,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,0,Transient,62.0,0,0
Resort Hotel,0,38,2024-06-04,2,3,2,0.0,0,BB,IRL,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,121.4,0,1
City Hotel,0,243,2024-06-14,0,3,2,0.0,0,BB,NLD,Direct,Direct,0,0,0,D,D,0,No Deposit,0,Transient,106.2,0,0
City Hotel,1,75,2024-12-02,2,2,2,0.0,0,SC,ESP,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,74.8,0,1
Resort Hotel,0,1,2025-03-02,0,1,1,0.0,0,BB,DEU,Direct,Direct,0,0,0,D,D,1,No Deposit,0,Transient-Party,68.0,0,0
Resort Hotel,0,61,2023-09-29,2,10,2,0.0,0,HB,BLR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,80.1,0,2
City Hotel,1,210,2025-06-25,1,0,2,2.0,0,BB,ZAF,Online TA,TA/TO,0,0,0,F,F,0,No Deposit,0,Transient,189.0,0,0
City Hotel,0,12,2024-02-06,2,2,2,0.0,0,SC,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,55.72,0,0
Resort Hotel,0,49,2025-04-09,2,2,2,0.0,0,BB,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,57.0,0,1
City Hotel,1,181,2024-05-05,2,4,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,1,0,A,A,0,Non Refund,42,Transient,90.0,0,0
Resort Hotel,1,33,2024-03-01,2,6,1,0.0,0,HB,PRT,Groups,Direct,0,0,0,A,A,0,No Deposit,0,Transient-Party,50.0,0,0
City Hotel,1,134,2025-02-25,0,1,1,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient-Party,75.0,0,0
City Hotel,0,239,2024-07-12,0,2,2,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Contract,107.0,0,1
City Hotel,1,58,2024-07-18,1,2,2,0.0,0,SC,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,94.5,0,0
Resort Hotel,0,185,2024-08-21,2,5,2,0.0,0,HB,GBR,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,0,Contract,116.1,0,0
City Hotel,1,56,2025-03-21,0,3,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,Non Refund,0,Transient,85.0,0,0
City Hotel,0,331,2025-08-02,0,2,2,2.0,0,BB,NLD,Online TA,TA/TO,0,0,0,F,F,0,No Deposit,0,Transient,179.1,0,2
Resort Hotel,0,27,2024-02-14,2,2,2,1.0,0,BB,GBR,Online TA,TA/TO,0,0,0,G,G,1,No Deposit,0,Transient,90.0,1,0
City Hotel,1,275,2025-08-08,0,4,2,0.0,0,SC,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,89.1,0,2
City Hotel,0,208,2025-08-02,0,1,2,0.0,0,HB,FRA,Groups,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient-Party,157.0,0,1
Resort Hotel,1,60,2023-09-06,2,4,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,0,Transient,146.0,0,0
City Hotel,0,6,2024-04-20,0,2,1,0.0,0,BB,PRT,Aviation,Corporate,0,0,0,A,A,1,No Deposit,0,Transient,95.0,0,0
City Hotel,0,58,2024-03-31,0,3,2,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient-Party,90.9,0,1
City Hotel,1,128,2024-11-19,1,1,2,0.0,0,BB,SVN,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,90.0,0,0
Resort Hotel,0,40,2023-11-21,0,1,3,0.0,0,HB,PRT,Direct,Direct,0,0,0,A,E,2,No Deposit,0,Transient,67.5,0,2
Resort Hotel,0,171,2024-04-04,1,1,2,0.0,0,HB,DEU,Groups,TA/TO,0,0,0,A,A,0,Non Refund,0,Transient-Party,85.0,0,0
City Hotel,1,286,2023-07-30,0,2,2,0.0,0,BB,PRT,Groups,TA/TO,1,1,0,A,A,0,No Deposit,0,Transient-Party,62.8,0,0
City Hotel,1,131,2023-08-15,2,1,2,0.0,0,HB,ITA,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient-Party,94.5,0,0
City Hotel,1,143,2025-05-04,0,3,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,0,Transient,100.0,0,0
Resort Hotel,1,108,2024-03-01,0,1,2,2.0,0,BB,PRT,Online TA,TA/TO,0,1,0,G,G,0,No Deposit,0,Transient,98.0,0,2
City Hotel,0,36,2023-10-17,0,1,1,0.0,0,BB,BEL,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Contract,102.6,0,2
City Hotel,1,336,2023-09-18,0,2,2,0.0,0,HB,PRT,Offline TA/TO,TA/TO,0,1,0,A,A,0,Non Refund,0,Transient-Party,101.5,0,0
City Hotel,0,15,2024-01-24,2,1,2,0.0,0,BB,BRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,68.99,0,1
City Hotel,0,51,2025-05-26,1,2,2,0.0,0,SC,ROU,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,160.0,0,1
City Hotel,1,236,2025-05-26,0,2,2,0.0,0,SC,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,107.1,0,1
Resort Hotel,0,11,2023-10-30,1,2,2,0.0,0,BB,ESP,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,45.66,0,1
City Hotel,0,30,2024-09-24,1,1,2,0.0,0,BB,ZAF,Online TA,TA/TO,0,0,0,D,A,0,No Deposit,0,Transient,143.55,0,0
City Hotel,1,68,2024-02-17,0,2,2,0.0,0,BB,PRT,Groups,TA/TO,0,1,0,A,A,0,Non Refund,0,Transient,75.0,0,0
City Hotel,1,181,2025-06-08,0,2,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,0,Transient,100.0,0,0
City Hotel,0,248,2025-07-11,0,4,2,0.0,0,BB,DNK,Online TA,TA/TO,0,0,0,A,A,1,No Deposit,0,Transient,89.1,0,1
Resort Hotel,0,8,2024-06-04,1,1,2,0.0,0,BB,PRT,Direct,Direct,0,0,0,A,C,0,No Deposit,0,Transient,109.0,0,0
Resort Hotel,0,278,2024-08-10,1,4,2,0.0,0,BB,ITA,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,0,Transient,159.5,0,1
Resort Hotel,1,164,2024-09-21,2,7,1,0.0,0,BB,IRL,Direct,Direct,0,0,0,F,F,0,No Deposit,0,Transient,123.1,0,0
Resort Hotel,0,47,2024-05-21,2,1,2,0.0,0,BB,FRA,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,0,Transient-Party,106.33,1,1
Resort Hotel,0,126,2024-07-08,3,7,2,0.0,0,BB,BEL,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,149.2,0,1
City Hotel,1,31,2025-06-04,2,3,2,0.0,0,BB,DEU,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,0,Transient,158.0,0,0
City Hotel,1,12,2024-01-19,0,3,1,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,2,No Deposit,0,Transient-Party,72.0,0,0
City Hotel,1,368,2025-08-28,1,2,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,1,No Deposit,0,Transient,80.1,0,0
City Hotel,0,217,2024-12-05,3,7,1,1.0,0,SC,BRA,Online TA,TA/TO,0,0,0,A,A,1,No Deposit,0,Transient,65.11,0,2
Resort Hotel,0,45,2025-06-23,2,5,2,0.0,0,HB,GBR,Offline TA/TO,TA/TO,0,0,0,E,E,0,No Deposit,0,Transient,144.4,0,2
City Hotel,1,47,2025-07-10,1,1,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,80.1,0,1
City Hotel,1,74,2023-09-18,0,2,2,0.0,0,HB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,Non Refund,0,Transient-Party,101.5,0,0
City Hotel,0,11,2024-01-23,0,1,2,0.0,0,BB,PRT,Direct,Direct,0,0,0,A,A,0,No Deposit,0,Transient,87.0,0,0
Resort Hotel,1,30,2024-03-07,1,5,2,0.0,0,Undefined,PRT,Groups,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient-Party,68.4,0,0
City Hotel,1,281,2023-07-25,2,2,1,0.0,0,BB,PRT,Groups,TA/TO,0,1,0,A,A,0,No Deposit,0,Transient-Party,60.0,0,0
Resort Hotel,1,29,2024-07-20,0,1,1,0.0,0,BB,PRT,Corporate,Corporate,0,0,0,A,A,0,No Deposit,0,Transient,115.0,0,0
City Hotel,1,95,2025-07-09,2,1,2,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,0,Transient,190.0,0,2
City Hotel,0,157,2024-10-22,2,5,2,0.0,0,BB,BEL,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,102.86,0,2
City Hotel,0,0,2024-01-24,2,2,2,0.0,1,BB,GBR,Offline TA/TO,TA/TO,0,0,0,D,D,2,No Deposit,0,Transient,68.4,0,1
City Hotel,0,19,2024-02-19,1,2,2,0.0,0,BB,ITA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,93.0,0,1
Resort Hotel,0,93,2023-10-23,2,2,2,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,34.65,0,1
City Hotel,0,192,2023-08-06,2,3,2,0.0,0,BB,DEU,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient-Party,76.5,0,2
Resort Hotel,1,20,2025-02-07,0,1,2,0.0,0,BB,PRT,Direct,Direct,0,0,0,A,A,0,No Deposit,0,Transient,45.0,0,1
City Hotel,1,60,2024-12-02,2,2,2,0.0,0,SC,ESP,Online TA,TA/TO,0,0,0,A,A,2,No Deposit,0,Transient,74.8,0,0
Resort Hotel,0,185,2023-09-21,1,1,2,0.0,0,HB,FRA,Groups,TA/TO,0,0,0,A,C,0,No Deposit,0,Transient-Party,90.0,0,0
Resort Hotel,1,2,2023-08-26,0,1,2,0.0,0,BB,PRT,Corporate,Corporate,0,0,0,A,A,0,No Deposit,0,Transient,137.7,0,0
Resort Hotel,0,27,2023-12-07,1,2,2,0.0,0,BB,FRA,Online TA,TA/TO,0,0,0,A,D,1,No Deposit,0,Transient,46.2,0,1
City Hotel,0,129,2025-06-17,2,2,2,0.0,0,SC,POL,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,99.0,0,0
City Hotel,1,67,2025-02-12,2,0,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,0,Transient,80.0,0,0
City Hotel,0,5,2024-02-16,0,3,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient-Party,91.0,0,0
Resort Hotel,0,2,2024-02-04,2,3,1,0.0,0,BB,PRT,Direct,Direct,1,0,1,A,D,1,No Deposit,0,Transient-Party,43.8,1,0
City Hotel,1,11,2025-08-15,0,2,2,0.0,0,BB,PRT,Direct,Direct,0,0,0,A,A,0,No Deposit,0,Transient,12.0,0,0
City Hotel,1,490,2025-07-29,2,1,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,Non Refund,0,Transient,90.0,0,0
City Hotel,0,37,2024-07-26,0,1,3,1.0,0,BB,PRT,Direct,Direct,0,0,0,E,F,0,No Deposit,0,Transient,188.95,0,1
Resort Hotel,1,207,2023-09-26,1,1,2,0.0,0,HB,PRT,Offline TA/TO,TA/TO,1,1,0,A,A,0,No Deposit,0,Transient,34.0,0,0
City Hotel,0,53,2024-11-04,0,2,2,0.0,0,SC,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,88.0,0,1
Resort Hotel,0,6,2024-02-02,0,1,1,0.0,0,BB,PRT,Corporate,Corporate,0,0,0,A,D,1,No Deposit,0,Transient,27.0,0,0
City Hotel,1,323,2023-09-05,1,1,2,0.0,0,BB,PRT,Groups,TA/TO,0,1,0,A,A,0,Non Refund,0,Transient-Party,62.0,0,0
