booking_id,hotel,is_canceled,lead_time,arrival_date_year,arrival_date_month,arrival_date_week_number,arrival_date_day_of_month,arrival_date,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,meal,country,market_segment,distribution_channel,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,reserved_room_type,assigned_room_type,booking_changes,deposit_type,agent,company,days_in_waiting_list,customer_type,adr,required_car_parking_spaces,total_of_special_requests
HB-050638,City Hotel,1,302,2024,May,18,5,2024-05-05,0,2,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,1.0,,0,Transient,62.0,0,0
HB-042358,City Hotel,1,65,2023,September,36,5,2023-09-05,1,1,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,1.0,,0,Transient,62.0,0,0
HB-113042,City Hotel,0,32,2025,May,22,30,2025-05-30,0,2,2,0.0,0,SC,ISR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,160.0,0,2
HB-020264,Resort Hotel,0,3,2024,February,8,25,2024-02-25,0,1,1,0.0,0,BB,PRT,Online TA,TA/TO,1,0,1,A,D,0,No Deposit,240.0,,0,Transient,43.0,1,2
HB-017627,Resort Hotel,0,5,2023,October,41,10,2023-10-10,2,6,2,0.0,0,BB,NLD,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,36.0,,0,Transient,42.0,0,0
HB-004628,Resort Hotel,1,36,2024,March,12,24,2024-03-24,1,3,2,0.0,0,HB,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240.0,,0,Transient,108.75,0,1
HB-035771,Resort Hotel,0,2,2025,April,18,29,2025-04-29,1,1,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,,0,Transient,122.0,0,2
HB-049486,City Hotel,1,126,2024,April,15,14,2024-04-14,0,3,1,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,1.0,,39,Transient,57.5,0,0
HB-067110,City Hotel,1,186,2025,April,18,28,2025-04-28,1,2,2,0.0,0,BB,FRA,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,,0,Transient,130.5,0,1
HB-082532,City Hotel,0,72,2023,December,52,27,2023-12-27,2,4,2,0.0,0,BB,FRA,Direct,Direct,0,0,0,D,D,0,No Deposit,,,0,Transient,128.22,0,2
HB-065066,City Hotel,1,74,2025,March,12,23,2025-03-23,1,3,2,0.0,0,BB,DEU,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,,0,Transient,100.3,0,0
HB-086866,City Hotel,0,4,2024,April,15,9,2024-04-09,0,1,2,2.0,0,BB,PRT,Online TA,TA/TO,0,0,0,F,F,0,No Deposit,9.0,,0,Transient,211.0,0,2
HB-072546,City Hotel,1,242,2025,July,31,30,2025-07-30,2,3,2,0.0,0,SC,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,112.5,0,0
HB-087103,City Hotel,0,40,2024,April,15,11,2024-04-11,1,2,2,0.0,0,BB,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,8.0,,0,Transient,105.3,0,1
HB-048605,City Hotel,1,161,2024,March,13,25,2024-03-25,1,2,2,0.0,0,HB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,Non Refund,12.0,,101,Transient,130.0,0,0
HB-105937,City Hotel,0,41,2025,February,7,13,2025-02-13,1,4,3,0.0,0,BB,FRA,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,9.0,,0,Transient,115.6,0,3
HB-099736,City Hotel,0,3,2024,October,40,2,2024-10-02,4,10,1,0.0,0,BB,PRT,Complementary,Direct,0,0,0,A,A,3,No Deposit,,45.0,0,Transient,0.0,0,0
HB-116099,City Hotel,0,414,2025,July,28,13,2025-07-13,0,2,1,0.0,0,HB,DEU,Groups,TA/TO,0,0,0,A,A,1,No Deposit,6.0,,0,Transient-Party,95.5,0,0
HB-018325,Resort Hotel,0,82,2024,February,6,7,2024-02-07,2,0,2,0.0,0,Undefined,PRT,Groups,TA/TO,1,0,0,A,A,0,No Deposit,67.0,,0,Transient-Party,72.0,0,0
HB-060224,City Hotel,1,626,2024,November,45,7,2024-11-07,1,2,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,1.0,,0,Transient,62.8,0,0
HB-007784,Resort Hotel,1,74,2024,August,35,26,2024-08-26,2,3,3,1.0,0,BB,ESP,Online TA,TA/TO,0,0,0,H,H,0,No Deposit,240.0,,0,Transient,262.0,0,0
HB-112024,City Hotel,0,26,2025,May,20,17,2025-05-17,0,2,1,0.0,0,BB,FRA,Offline TA/TO,TA/TO,0,0,0,A,A,1,No Deposit,474.0,,0,Transient-Party,130.0,0,0
HB-046737,City Hotel,0,28,2024,January,3,18,2024-01-18,1,1,2,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,7.0,,0,Transient,76.69,0,0
HB-015731,Resort Hotel,0,67,2023,July,31,31,2023-07-31,0,1,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,D,0,No Deposit,241.0,,0,Transient,88.55,0,1
HB-046907,City Hotel,1,4,2024,January,4,25,2024-01-25,3,5,1,0.0,0,BB,AGO,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,64.08,0,1
HB-065180,City Hotel,1,170,2025,March,13,26,2025-03-26,2,4,2,0.0,0,BB,FRA,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,,0,Transient,96.9,0,0
HB-026221,Resort Hotel,0,61,2024,July,30,22,2024-07-22,1,2,2,0.0,0,BB,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,,0,Transient-Party,172.0,1,0
HB-039089,Resort Hotel,0,1,2025,August,32,5,2025-08-05,1,1,2,2.0,0,BB,PRT,Online TA,TA/TO,0,0,0,G,G,0,No Deposit,240.0,,0,Transient,299.0,0,0
HB-044037,City Hotel,1,92,2023,September,39,30,2023-09-30,0,1,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,1.0,,0,Transient,170.0,0,0
HB-059064,City Hotel,1,91,2024,October,42,20,2024-10-20,2,4,2,0.0,0,BB,BRA,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,,0,Transient,127.65,0,1
HB-112859,City Hotel,0,21,2025,May,20,18,2025-05-18,3,8,1,0.0,0,BB,AUS,Aviation,Corporate,0,0,0,D,D,0,No Deposit,,153.0,0,Transient,110.0,0,0
HB-012712,Resort Hotel,1,145,2025,July,28,13,2025-07-13,2,3,2,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,240.0,,0,Transient,199.0,0,1
HB-041223,City Hotel,0,39,2023,August,33,14,2023-08-14,0,2,2,0.0,0,HB,DEU,Offline TA/TO,TA/TO,0,0,0,A,D,0,No Deposit,6.0,,0,Transient-Party,109.0,0,0
HB-046645,City Hotel,1,9,2024,January,2,14,2024-01-14,0,2,2,0.0,0,SC,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,67.5,0,0
HB-070519,City Hotel,1,150,2025,June,25,17,2025-06-17,2,3,1,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,Non Refund,,,0,Transient,120.0,0,0
HB-054720,City Hotel,1,158,2024,July,30,24,2024-07-24,2,2,2,0.0,0,SC,BEL,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,89.25,0,0
HB-057162,City Hotel,1,141,2024,September,38,19,2024-09-19,2,5,1,0.0,0,SC,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,118.8,0,1
HB-104692,City Hotel,0,52,2025,January,3,18,2025-01-18,0,3,1,0.0,0,BB,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,86.4,0,1
HB-025390,Resort Hotel,0,8,2024,June,25,23,2024-06-23,0,2,2,3.0,0,BB,USA,Direct,Direct,0,0,0,H,H,0,No Deposit,250.0,,0,Transient,186.0,1,0
HB-052175,City Hotel,1,21,2024,June,22,1,2024-06-01,0,2,3,0.0,0,BB,FRA,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,,0,Transient,157.0,0,0
HB-063342,City Hotel,1,580,2025,February,6,9,2025-02-09,0,2,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,1.0,,0,Transient,62.0,0,0
HB-024908,Resort Hotel,0,38,2024,June,23,4,2024-06-04,2,3,2,0.0,0,BB,IRL,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,,0,Transient,121.4,0,1
HB-091154,City Hotel,0,243,2024,June,24,14,2024-06-14,0,3,2,0.0,0,BB,NLD,Direct,Direct,0,0,0,D,D,0,No Deposit,14.0,,0,Transient,106.2,0,0
HB-061160,City Hotel,1,75,2024,December,49,2,2024-12-02,2,2,2,0.0,0,SC,ESP,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,74.8,0,1
HB-033768,Resort Hotel,0,1,2025,March,9,2,2025-03-02,0,1,1,0.0,0,BB,DEU,Direct,Direct,0,0,0,D,D,1,No Deposit,,,0,Transient-Party,68.0,0,0
HB-002060,Resort Hotel,0,61,2023,September,39,29,2023-09-29,2,10,2,0.0,0,HB,BLR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,,0,Transient,80.1,0,2
HB-070921,City Hotel,1,210,2025,June,26,25,2025-06-25,1,0,2,2.0,0,BB,ZAF,Online TA,TA/TO,0,0,0,F,F,0,No Deposit,9.0,,0,Transient,189.0,0,0
HB-083673,City Hotel,0,12,2024,February,6,6,2024-02-06,2,2,2,0.0,0,SC,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,15.0,,0,Transient,55.72,0,0
HB-035070,Resort Hotel,0,49,2025,April,15,9,2025-04-09,2,2,2,0.0,0,BB,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,241.0,,0,Transient,57.0,0,1
HB-081902,City Hotel,1,181,2024,May,18,5,2024-05-05,2,4,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,1,0,A,A,0,Non Refund,26.0,,42,Transient,90.0,0,0
HB-004287,Resort Hotel,1,33,2024,March,9,1,2024-03-01,2,6,1,0.0,0,HB,PRT,Groups,Direct,0,0,0,A,A,0,No Deposit,,,0,Transient-Party,50.0,0,0
HB-063918,City Hotel,1,134,2025,February,9,25,2025-02-25,0,1,1,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,No Deposit,30.0,,0,Transient-Party,75.0,0,0
HB-092935,City Hotel,0,239,2024,July,28,12,2024-07-12,0,2,2,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Contract,107.0,0,1
HB-054499,City Hotel,1,58,2024,July,29,18,2024-07-18,1,2,2,0.0,0,SC,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,94.5,0,0
HB-027377,Resort Hotel,0,185,2024,August,34,21,2024-08-21,2,5,2,0.0,0,HB,GBR,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,243.0,,0,Contract,116.1,0,0
HB-064952,City Hotel,1,56,2025,March,12,21,2025-03-21,0,3,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,Non Refund,86.0,,0,Transient,85.0,0,0
HB-117438,City Hotel,0,331,2025,August,31,2,2025-08-02,0,2,2,2.0,0,BB,NLD,Online TA,TA/TO,0,0,0,F,F,0,No Deposit,9.0,,0,Transient,179.1,0,2
HB-021075,Resort Hotel,0,27,2024,February,7,14,2024-02-14,2,2,2,1.0,0,BB,GBR,Online TA,TA/TO,0,0,0,G,G,1,No Deposit,240.0,,0,Transient,90.0,1,0
HB-072872,City Hotel,1,275,2025,August,32,8,2025-08-08,0,4,2,0.0,0,SC,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,89.1,0,2
HB-117349,City Hotel,0,208,2025,August,31,2,2025-08-02,0,1,2,0.0,0,HB,FRA,Groups,TA/TO,0,0,0,A,A,0,No Deposit,30.0,,0,Transient-Party,157.0,0,1
HB-001624,Resort Hotel,1,60,2023,September,36,6,2023-09-06,2,4,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240.0,,0,Transient,146.0,0,0
HB-087598,City Hotel,0,6,2024,April,16,20,2024-04-20,0,2,1,0.0,0,BB,PRT,Aviation,Corporate,0,0,0,A,A,1,No Deposit,,153.0,0,Transient,95.0,0,0
HB-086457,City Hotel,0,58,2024,March,13,31,2024-03-31,0,3,2,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient-Party,90.9,0,1
HB-060720,City Hotel,1,128,2024,November,47,19,2024-11-19,1,1,2,0.0,0,BB,SVN,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,90.0,0,0
HB-003226,Resort Hotel,0,40,2023,November,47,21,2023-11-21,0,1,3,0.0,0,HB,PRT,Direct,Direct,0,0,0,A,E,2,No Deposit,,,0,Transient,67.5,0,2
HB-004844,Resort Hotel,0,171,2024,April,14,4,2024-04-04,1,1,2,0.0,0,HB,DEU,Groups,TA/TO,0,0,0,A,A,0,Non Refund,298.0,,0,Transient-Party,85.0,0,0
HB-073813,City Hotel,1,286,2023,July,30,30,2023-07-30,0,2,2,0.0,0,BB,PRT,Groups,TA/TO,1,1,0,A,A,0,No Deposit,1.0,,0,Transient-Party,62.8,0,0
HB-041427,City Hotel,1,131,2023,August,33,15,2023-08-15,2,1,2,0.0,0,HB,ITA,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,17.0,,0,Transient-Party,94.5,0,0
HB-067546,City Hotel,1,143,2025,May,18,4,2025-05-04,0,3,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,151.0,,0,Transient,100.0,0,0
HB-018603,Resort Hotel,1,108,2024,March,9,1,2024-03-01,0,1,2,2.0,0,BB,PRT,Online TA,TA/TO,0,1,0,G,G,0,No Deposit,240.0,,0,Transient,98.0,0,2
HB-078874,City Hotel,0,36,2023,October,42,17,2023-10-17,0,1,1,0.0,0,BB,BEL,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Contract,102.6,0,2
HB-076005,City Hotel,1,336,2023,September,38,18,2023-09-18,0,2,2,0.0,0,HB,PRT,Offline TA/TO,TA/TO,0,1,0,A,A,0,Non Refund,6.0,,0,Transient-Party,101.5,0,0
HB-083281,City Hotel,0,15,2024,January,4,24,2024-01-24,2,1,2,0.0,0,BB,BRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,7.0,,0,Transient,68.99,0,1
HB-112798,City Hotel,0,51,2025,May,22,26,2025-05-26,1,2,2,0.0,0,SC,ROU,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,160.0,0,1
HB-069141,City Hotel,1,236,2025,May,22,26,2025-05-26,0,2,2,0.0,0,SC,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,107.1,0,1
HB-002763,Resort Hotel,0,11,2023,October,44,30,2023-10-30,1,2,2,0.0,0,BB,ESP,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,,,0,Transient,45.66,0,1
